donor,recipient,amount
United States,India,86370199
United States,India,86329744
United States,India,86146797
United States,India,86140807
United States,India,86087673
United States,India,85931215
United States,India,85879459
United States,India,85879459
United States,India,85615723
United States,India,85308588
United States,India,85272492
United States,India,85093547
United States,India,84948346
United States,India,84914513
United States,India,84832494
United States,India,84785148
United States,India,84585941
United States,Saudi Arabia,84513650
United States,Saudi Arabia,84467626
United States,Saudi Arabia,84177571
United States,Saudi Arabia,84165817
United States,Saudi Arabia,84053191
United States,Saudi Arabia,83971160
United States,Saudi Arabia,83925439
United States,Saudi Arabia,83916763
United States,Saudi Arabia,83912945
United States,Saudi Arabia,83903368
United States,Saudi Arabia,83886689
United States,Saudi Arabia,83850038
United States,Saudi Arabia,83773774
United States,Saudi Arabia,83614083
United States,Saudi Arabia,83529726
United States,India,83417964
United States,Slovak Republic,83287035
United States,South Africa,83183292
United States,South Africa,83089263
United States,South Africa,83089263
United States,South Africa,83089263
United States,South Africa,82953148
United States,South Africa,82823325
United States,South Africa,82678015
United States,Taiwan,82447339
United States,Taiwan,82325623
United States,Taiwan,82298764
United States,Taiwan,82298764
United States,Taiwan,82241076
United States,Taiwan,82213728
United States,Taiwan,82178864
United States,Taiwan,82012362
United States,Taiwan,81859033
United States,Taiwan,81859033
United States,Taiwan,81736773
United States,Taiwan,81437165
United States,Taiwan,81429714
United States,Taiwan,81354057
United States,Taiwan,81335291
United States,Taiwan,81295457
United States,Taiwan,81183784
United States,Taiwan,81003328
United States,Taiwan,80976522
United States,Taiwan,80869197
United States,Taiwan,80717034
United States,Taiwan,80709660
United States,Taiwan,80606565
United States,Taiwan,80323793
United States,Taiwan,80241295
United States,Taiwan,80054333
United States,Taiwan,80020408
United States,Taiwan,79990018
United States,Taiwan,79946821
United States,Taiwan,79738649
United States,Thailand,79705827
United States,Thailand,79662598
United States,Thailand,79655017
United States,Thailand,79536496
United States,Thailand,79535474
United States,Thailand,79535474
United States,Thailand,79440831
United States,Thailand,79371799
United States,Thailand,79368760
United States,Taiwan,79367885
United States,Brazil,79246758
United States,Chile,79233324
United States,India,79053498
United States,Colombia,79034323
United States,Colombia,79034323
United States,Czech Republic,79034323
United States,Czech Republic,78933453
United States,Greece,78820020
United States,India,78768544
United States,India,78734795
United States,Italy,78722722
United States,Japan,78578703
United States,Korea,78496061
United States,Brazil,78319972
United States,Chile,78228756
United States,Taiwan,78140255
United States,Colombia,77938376
United States,Brazil,77911478
United States,Brazil,77881436
United States,Thailand,77714901
United States,Brazil,77647301
United States,Brazil,77501955
United States,India,77470094
United States,India,77456401
United States,Ireland,77236753
United States,Korea,77181223
United States,Korea,77141284
United States,Romania,77090520
United States,Sweden,76948673
United States,Canada,76933056
United States,Canada,76816123
United States,Colombia,76770985
United States,Finland,76398951
United States,France,76326880
United States,Iceland,76317709
United States,India,76266236
United States,India,76189606
United States,Chile,76135175
United States,Chile,75859538
United States,India,75815109
United States,India,75730740
United States,Saudi Arabia,75577153
United States,Saudi Arabia,75506060
United States,Brazil,75476035
United States,Chile,75451942
United States,Chile,75354228
United States,Chile,75348329
United States,Colombia,75312667
United States,Colombia,75103303
United States,Colombia,75090262
United States,Colombia,75066458
United States,India,74992750
United States,Brazil,74851112
United States,Brazil,74620674
United States,Saudi Arabia,74460397
United States,South Africa,74384133
United States,Brazil,74356855
United States,Brazil,74354419
United States,Taiwan,74343353
United States,Portugal,74343353
United States,Korea,74343353
United States,Korea,74249694
United States,Korea,74168795
United States,Korea,74124325
United States,Korea,74104322
United States,Korea,74094319
United States,Kuwait,74064356
United States,India,74034877
United States,Poland,73948434
United States,Poland,73673130
United States,Brazil,73610965
United States,Hungary,73492843
United States,Hungary,73492144
United States,India,73420234
United States,India,73382873
United States,India,73239599
United States,India,73139899
United States,India,73130129
United States,Australia,72954250
United States,Australia,72911163
United States,Colombia,72798766
United States,Brazil,72707674
United States,Brazil,72497414
United States,Spain,72482087
United States,Spain,72424893
United States,Colombia,72363183
United States,Brazil,72351220
United States,Brazil,72277292
United States,Brazil,72058942
United States,Brazil,72056293
United States,Colombia,72045960
United States,Czech Republic,71986811
United States,Brazil,71946837
United States,Brazil,71876754
United States,Brazil,71850086
United States,Korea,71793308
United States,Korea,71716860
United States,Brazil,71648006
United States,Brazil,71585120
United States,Czech Republic,71566111
United States,Czech Republic,71566111
United States,Czech Republic,71459269
United States,Brazil,71435925
United States,Brazil,71413275
United States,Brazil,71395117
United States,Brazil,71356109
United States,Brazil,71304419
United States,Brazil,71242109
United States,Chile,71202806
United States,Chile,71135635
United States,Czech Republic,71113792
United States,Czech Republic,70963028
United States,India,70956081
United States,Greece,70862433
United States,Greece,70783322
United States,Poland,70737677
United States,Poland,70636547
United States,Poland,70634287
United States,Poland,70634287
United States,Saudi Arabia,70538468
United States,Taiwan,70497986
United States,Taiwan,70459859
United States,Taiwan,70395730
United States,Taiwan,70303395
United States,Taiwan,70207482
United States,Thailand,70191925
United States,Thailand,70137592
United States,Thailand,69954880
United States,Thailand,69773281
United States,Thailand,69749900
United States,Thailand,69588395
United States,Spain,69587019
United States,Thailand,69496340
United States,Thailand,69490291
United States,Poland,69485478
United States,Romania,69365058
United States,France,69353143
United States,Japan,69302221
United States,Korea,69259167
United States,New Zealand,69155033
United States,Norway,69130951
United States,Romania,69078136
United States,Spain,69072112
United States,Korea,69040299
United States,Saudi Arabia,68859450
United States,Saudi Arabia,68733570
United States,Saudi Arabia,68595259
United States,Saudi Arabia,68578818
United States,Saudi Arabia,68474364
United States,Saudi Arabia,68372551
United States,Canada,68370593
United States,Canada,68365063
United States,Greece,68215861
United States,Hungary,68215861
United States,India,68155878
United States,India,68045855
United States,Brazil,68018285
United States,Brazil,67786461
United States,Brazil,67711532
United States,Qatar,67688565
United States,Poland,67658400
United States,Korea,67603822
United States,Korea,67351384
United States,Korea,67195300
United States,Hungary,67109351
United States,India,67085688
United States,India,67070120
United States,Korea,67056125
United States,Korea,67032435
United States,Korea,67032435
United States,Korea,67032435
United States,Korea,66998466
United States,Korea,66851543
United States,Poland,66829195
United States,Poland,66777621
United States,Poland,66744633
United States,New Zealand,66573742
United States,Brazil,66380966
United States,Brazil,66283586
United States,Brazil,66239728
United States,Brazil,66171888
United States,Brazil,66168289
United States,Brazil,66129911
United States,Brazil,66034295
United States,Brazil,66017712
United States,Brazil,65906469
United States,Brazil,65884858
United States,Brazil,65867554
United States,Brazil,65859994
United States,Brazil,65839011
United States,Chile,65839011
United States,Chile,65814421
United States,Chile,65777660
United States,Colombia,65703954
United States,Colombia,65639657
United States,Colombia,65573947
United States,Colombia,65533475
United States,Korea,65416241
United States,Korea,65386134
United States,Korea,65355873
United States,Portugal,65320828
United States,Portugal,65310902
United States,Saudi Arabia,65266643
United States,Saudi Arabia,65266643
United States,Saudi Arabia,65266643
